Steps,Features,Neurons,Epochs,Learning Rate,Training Time(min),Percent Error(%)
MSE
3,7: All,100,20,0.0001,2.11,93.64
3,7: All,100,20,1e-05,2.12,90.41
3,7: All,100,20,0.001,2.12,93.9933,
3,"3: dew,temp,rain",100,20,0.0001,2.09,93.99
3,"4: date,dew,temp,rain",100,20,0.0001,2.06,49.61
3,"3: dew,temp,rain",100,20,0.001,2.11,94.22
3,"2: temp,rain",100,20,0.001,2.16,94.34
3,"1: temp",100,20,0.001,2.06,93.76
MAE
3,1: temp,100,20,0.001,2.13,93.93
3,1: temp,100,20,0.001,2.07,93.76
3,"2: dew, temp",100,20,0.001,2.2,93.64
3,"2: dew, temp",100,20,1e-06,2.24,44.18
3,"2: dew, temp",100,20,0.01,2.36,93.87
3,"2: dew, temp",500,20,0.001,26.09,93.82
7,"2: dew, temp",100,20,0.001,4.11,94.57
14,"2: dew, temp",100,20,0.001,9.98,94.97
30,"2: dew, temp",100,20,0.001,20.26,95.43
30,1: temp,100,20,0.001,17.24,95.14
